,answer_id,answer_text,question
19,3,утренняя гигиеническая гимнастика," форма самостоятельных занятий физическими упражнениями, которая обеспечивает умеренное повышение тонуса и ускорение врабатывания систем организма при и переходе от состояния покоя к повседневной деятельности – это:"
20,3,принцип органической связи физического воспитания с практикой трудовой деятельности, какой принцип педагогической системы воплощается в профессионально-прикладной физической подготовке:
21,1,170 – 200 уд/мин, анаэробная зона интенсивности тренировочной нагрузки определяется уровнем чсс в пределах:
22,1,соревновательные упражнения," целостные двигательные действия, которые являются средством соревновательной борьбы в избранном виде спорта и выполняются в соответствии с правилами соревнований по этому виду спорта:"
23,3,"значительное нервно-психическое напряжение в связи с непрерывным контролем за положением собственного тела в пространстве, увеличение суммарной амплитуды тремора и чсс, ухудшение функционирования двигательного анализатора, проявление отрицательных эмоций"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием нахождения на высоте в условиях ограниченной опоры происходят следующие негативные изменения:"
24,0,люди с высоким уровнем развития более устойчивы, влияет ли уровень физической подготовленности на устойчивость к воздействию окружающей среды:
25,2,аллергической реакцией, как реагирует организм человека на изменение химического состава окружающей среды:
26,3,повышению активности метаболизма," по вашему мнению, активизация деятельности мышц при занятиях оздоровительным бегом приводит к:"
27,3,"нарушение точности и быстроты действий, снижение умственной и физической работоспособности"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием гиподинамии, гипокинезии происходят следующие негативные изменения:"
28,0,30 – 320 с, какую температуру воды следует выбрать на начальном этапе закаливания:
29,3,"воспитание прикладных психофизических и специальных качеств, освоение прикладных умений и навыков, формирование необходимых прикладных знаний", задачи профессионально-прикладной физической подготовки:
30,0,характер труда," особенности двигательных рабочих операций, при характеристике которых имеют в виду главным образом тип движений, амплитуду движений, силовые характеристики движения, особенности координации движений – это:"
31,3,атлетической гимнастикой, формирование гармоничного телосложения является конечной целью занятий:
32,3,"положительное, что выражается через повышение бодрости, хороший аппетит, крепкий и спокойный сон", какое влияние оказывает закаливание солнцем на организм:
33,2,комплекс характеристик мотивационной и потребностно-информационной основы жизнедеятельности человека, нравственный компонент здоровья – это:
34,0,профессиональный спорт," предпринимательская деятельность, целью которой является удовлетворение интересов профессиональных спортивных организаций, спортсменов, избравших спорт своей профессией, и зрителей – это:"
35,0,"2,5 – 3 л", суточная потребность человека в воде:
36,1,специально-подготовительные упражнения., основные средства профессионально-прикладной подготовки
37,1,"устойчивый режим, уход за телом, гигиену одежды и обуви", личная гигиена включает в себя
38,0,"ухудшение координации и точности движений, несоразмерность усилий, понижение способности сохранять равновесие"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием отрицательной эмоциональной нагрузки происходят следующие негативные изменения:"
39,3,студенческий спорт," составная часть спорта, культивируемая в высших учебных заведениях, интегрирующая массовый спорт и спорт высших достижений – это:"
40,1,резко выраженное болезненное влечение и привыкание человека к наркотическим веществам, наркомания – это:
41,2,"поражение цнс, кардио-респираторной и пищеварительной систем", какие последствия влечет за собой курение табака:
42,0,"отбор и спортивную ориентацию, спортивную тренировку, соревнования", система подготовки спортсмена включает в себя:
43,2,"воздушные и солнечные ванны, водные процедуры", виды закаливания:
44,3,физическая подготовка," педагогический процесс, направленный на воспитание физических качеств и развитие функциональных возможностей, создающих благоприятные условия обеспечения жизнедеятельности человека – это:"
45,2,"физические упражнения, оздоровительные силы природы, гигиенические факторы", средствами офп являются:
46,2,"часть подготовки спортсмена, которая построена на основе метода упражнения", спортивная тренировка – это:
47,3,соревновательно-эталонная функция," функция спорта, которая выражается в том, что уровень спортивных достижений служит своего рода мерилом максимального развития спортивных способностей человека и ориентиром на пути к дальнейшему совершенствованию, – это:"
48,0,"упражнения с небольшим весом, сериями по 8-12 повторений"," на занятиях с отягощениями, женщинам рекомендуется выполнять:"
49,0,"обтирание, обливание, душ", к закаливанию водой относятся:
50,3,"прыжки в глубину, поднимание тяжестей, сопровождающееся натуживанием"," укажите упражнения, которые следует исключить женщинам как вызывающие повышение внутрибрюшного давления и затрудняющие деятельность органов малого таза:"
51,2,"положительное за счет применения дозируемого изменения температуры, влажности и скорости движения", какое влияние оказывает закаливание воздухом на организм:
52,2,"гигиеническая, лечебная, общеподготовительная, оздоровительно-рекреативная, спортивная, профессионально-прикладная", виды направленности самостоятельных занятий физическими упражнениями:
53,3,использование средств физической культуры для восстановления работоспособности и укрепления здоровья в рамках повседневного быта и трудовой деятельности, гигиеническая направленность самостоятельных занятий физическими упражнениями предполагает:
54,0,"обеспечение будущих специалистов прикладными знаниями, умениями и навыками, которые бы обеспечили сознательное и методически правильное использование средств физической культуры и спорта для подготовки к профессиональным видам труда", цель профессионально-прикладной физической подготовки:
55,3,"эйфорию – ложное ощущение веселья, благодушие, приятное успокоение", в малых дозах наркотики вызывают:
56,0,"пола, возраста, состояния здоровья, уровня физической и спортивной подготовленности занимающегося", направленность и организационные формы использования самостоятельных занятий физическими упражнениями зависят от:
57,3,"упражнения статического характера, упражнения с отягощениями, упражнения на выносливость"," по вашему мнению, какие упражнения не рекомендуется включать в комплекс утренней гигиенической гимнастики:"
58,3,"к увеличению количества абортов, росту числа разводов, распространению заболеваний, передающихся половым путем"," к чему приводит либерализация половой морали, частая смена партнеров в сочетании с низкой сексуальной культурой:"
59,2,жиры," пищевые вещества, которые выполняют пластическую функцию, являясь структурной частью клеток, участвуют в обмене витаминов, способствуют их усвоению и одновременно служат источниками некоторых витаминов:"
60,2,жиры," пищевые вещества, которые выполняют пластическую функцию, являясь структурной частью клеток, участвуют в обмене витаминов, способствуют их усвоению и одновременно служат источниками некоторых витаминов:"
61,3,организационная подготовка, в спортивную подготовку спортсмена не входит:
62,0,в увеличении количества принимаемого наркотического вещества, какая потребность характерна для наркоманов:
63,0,"постепенное снижение нагрузки, восстановление организма"," по вашему мнению, основной задачей заключительной части тренировочного занятия является:"
64,1,"состояние опьянения, оглушенности, наркотический сон, острое отравление и смерть", какие последствия влечет за собой употребление наркотиков:
65,0,силы и силовой выносливости, занятия атлетической гимнастикой направлены на развитие:
66,3,8-10 часов, оптимальный двигательный режим для молодых людей в возрасте от 14 до 25 лет должен составлять:
67,3,оздоровительно-рекреативная функция," функция спорта, которая проявляется в положительном влиянии спорта на состояние и функциональные возможности организма человека,  – это:"
68,3,система подготовки спортсмена," совокупность методических основ организационных форм и условий тренировочно-соревновательного процесса, оптимально взаимодействующих между собой на основе определенных принципов и обеспечивающих наилучшую степень готовности спортсмена к высоким спортивным достижениям – это:"
69,0,хорошо физически развитый и тренированный человек," по вашему мнению, быстрее акклиматизируется в новой местности, легче переносит действие низкой и высокой температуры, более устойчив к инфекциям, проникающей радиации:"
70,0,150 – 170 уд/мин, смешанная зона интенсивности тренировочной нагрузки определяется уровнем чсс в пределах:
71,3,использование средств физической культуры и спорта в системе организации труда и для подготовки к профессиональной деятельности с учетом особенностей получаемой специальности, профессионально-прикладная направленность самостоятельных занятий физическими упражнениями предполагает:
72,3,использование средств физической культуры для совершенствования двигательных способностей с целью всестороннего и гармоничного физического развития человека, общеподготовительная  направленность самостоятельных занятий физическими упражнениями предполагает:
73,3,прикладные психические качества и свойства личности," сознательное преодоление трудностей в процессе регулярных занятий физической культурой и спортом, борьба с нарастающим утомлением, ощущениями боли и страха, привычка соблюдать установленные нормы и правила поведения воспитывают:"
74,1,общая физическая подготовка," процесс совершенствования физических качеств, направленных на всестороннее и гармоничное развитие человека – это:"
75,1,"вес отягощения увеличивается, число повторений уменьшается", при занятиях атлетической гимнастикой для развития абсолютной силы:
76,1,"значительно учащенное, периодически через рот", что характерно для дыхания при значительной степени утомления:
77,3,"снижают работоспособность, сокращают продолжительность жизни"," какое влияние на здоровье человека оказывают вредные привычки (курение табака, употребление алкогольных напитков и наркотиков):"
