,answer_id,answer_text,question
1,1,микроэлементы и минеральные вещества," вещества, участвующие в построении тканей, регулирующие кислотно-щелочное состояние организма, входящие в состав ферментных систем, гормонов и витаминов и влияющие на их функцию, нормализующие водно-солевой обмен:"
2,1,"нарушение точности движений вследствие усиления проприоцептивной импульсации, увеличение времени реакции"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием статического напряжения мышц происходят следующие негативные изменения:"
3,3,магнитной активности земли," под воздействием какого фактора ухудшается самочувствие людей, страдающих заболеваниями сердечно-сосудистой системы:"
4,1,баскетбол, в каком виде спорта тактическая подготовка играет решающую роль:
6,2,"соревновательные, специальные и общеразвивающие упражнения", основными специфическими средствами спортивной подготовки являются:
7,0,"умственное и физическое утомление, гиподинамия, гипокинезия, нахождение на высоте в условиях ограниченной опоры, статическое напряжение мышц, отрицательные эмоциональные нагрузки, высокая температура"," по вашему мнению, отрицательно действующими факторами, влияющими на изменения в состоянии организма и двигательной деятельности в процессе труда являются:"
8,0,спортивная форма," высшая степень подготовленности спортсмена, характеризующаяся его способностью к одновременной реализации в соревновательной деятельности различных сторон подготовки спортсмена:"
12,0,"использование средств физической культуры в целях отдыха, восстановления организма и профилактики переутомления и перенапряжения", оздоровительно-рекреативная направленность самостоятельных занятий физическими упражнениями предполагает:
13,1,"упражнения статического характера, упражнения с отягощениями, упражнения на выносливость"," по вашему мнению, что рекомендуется сделать после выполнения комплекса утренней гигиенической гимнастики:"
14,0,специальная физическая подготовка," процесс развития физических качеств, возможностей организма, непосредственно определяющих достижения в избранном виде спорта – это:"
15,2,специализированная подготовка к избранной профессиональной деятельности, профессионально-прикладная подготовка - это
16,3,"динамическое состояние физического, духовного и социального благополучия, обеспечивающее полноценное выполнение человеком трудовых, психических и биологических функций при максимальной продолжительности жизни", здоровье – это:
17,2,мотивации," по вашему мнению, выбор занимающимся вида спорта или системы физических упражнений зависит от:"
18,2,гиповитаминозу, недостаток витаминов приводит к:
19,0,специализированный вид физического воспитания для формирования и совершенствования свойств и качеств личности для конкретной профессиональной деятельности, профессионально-прикладная физическая подготовка – это
20,1,«гусиная кожа» и озноб, сигналами неблагоприятного воздействия на организм прохладными и холодными воздушными ваннами являются:
23,1,"направленное развитие и поддержание на оптимальном уровне тех психических и физических качеств человека, к которым предъявляет повышенные требования конкретная профессиональная деятельность, а также выработка функциональной устойчивости организма к условиям этой деятельности и формирование прикладных двигательных умений и навыков", основное назначение профессионально-прикладной физической подготовки:
25,2,"различные тренажеры, специальные технические приспособления, с помощью которых можно моделировать отдельные условия и характер будущего профессионального труда", к вспомогательным средствам профессионально-прикладной физической подготовки относятся:
26,1,упражнения в течение учебного (рабочего) дня," форма самостоятельных занятий физическими упражнениями, которая обеспечивает предупреждение наступающего утомления, способствует поддержанию высокой работоспособности на длительное время без перенапряжения – это:"
30,0,важное средство профилактики негативных последствий охлаждения организма или действия высоких температур, закаливание организма ‑ это
31,3,меланин, какой пигмент вырабатывается организмом под действием ультрафиолетовых лучей:
33,0,физическая нагрузка," воздействие физических упражнений на организм спортсмена, вызывающее активную реакцию его функциональных систем – это:"
34,1,тепловое, какое воздействие на организм при закаливании солнцем оказывают инфракрасные лучи:
35,2,общую и специальную, физическая подготовка разделяется на:
36,0,"использование средств физической культуры для повышения спортивного мастерства, участия в спортивных соревнованиях, достижения высоких спортивных результатов", спортивная направленность самостоятельных занятий физическими упражнениями предполагает:
37,0,оздоровительный бег," по вашему мнению, одной из самых доступных форм занятий физической культурой является:"
39,3,спорт," социальное явление, один из видов физической культуры, исторически сложившийся в форме соревновательной деятельности, специальной подготовки к ней, а также специфических межличностных отношений, норм и достижений, возникающих в процессе этой деятельности – это:"
40,1,"баланс энергии, соотношение пищевых веществ, соблюдения режима питания", принципы рационального питания:
41,3,белки," пищевые вещества, которые служат материалом для построения клеток, тканей и органов, образования ферментов и большинства гормонов, входящие в состав соединений, обеспечивающих иммунитет организма к инфекциям:"
42,3,до – 200 с, температурный режим для проведения занятий на свежем воздухе:
44,3,два раза в неделю," по вашему мнению, для поддержания уровня физической подготовленности необходимо заниматься физическими упражнениями:"
45,0,130 – 150 уд/мин, аэробная зона интенсивности тренировочной нагрузки определяется уровнем чсс в пределах:
47,3,соревновательная нагрузка," интенсивная, часто максимальная нагрузка, связанная с выполнением соревновательной деятельности – это:"
48,0,"техническую, тактическую, психическую и физическую", спортивная подготовка включает в себя:
54,4,закономерности биологических ритмов, для установки режима дня необходимо учитывать
56,3,здоровый образ жизни, средство улучшения состояния здоровья:
57,0,эвристически-достиженческая функция," функция спорта, которой характерна творческая поисковая деятельность, сопряженная с познанием человеком своих возможностей, наряду с изысканием эффективных способов максимальной реализации и их увеличения, – это:"
58,0,предохраняет организм от избыточной солнечной радиации и ожогов," по вашему мнению, какую роль для организма играет пигмент меланин, который образуется под действием ультрафиолетовых лучей:"
59,3,средства профессионально-прикладной физической подготовки," прикладные физические упражнения и элементы различных видов спорта, оздоровительные силы природы и гигиенические факторы – это:"
60,3,"использование физических упражнений в общей системе лечебных мер по восстановлению здоровья или определенных функций организма, сниженных или утраченных в результате заболеваний или травмы", лечебная направленность самостоятельных занятий физическими упражнениями предполагает:
61,0,резко выраженное болезненное влечение и привыкание человека к наркотическим средствам., наркомания ‑ это
62,0,чссmax = 220 – возраст человека (лет), формула расчета максимальной чсс во время нагрузки:
64,0,"состояние общего душевного комфорта, обеспечивающее адекватную регуляцию поведения", психический компонент здоровья – это:
65,3,зима," на какое время года приходится пик обострений простудных заболеваний, гриппа и орви:"
66,0,воспитание волевых способностей, в тактическую подготовку спортсмена не входит:
67,3,текущее состояние органов и систем органов человеческого организма, соматический компонент здоровья – это:
72,3,прогрессивный, какой термин не является определением метода тренировочного процесса:
79,3,"сдвиги в работе терморегуляторного аппарата, напряжение сердечно-сосудистой, дыхательной и нервной систем организма, снижение мышечной выносливости к статическому напряжению, уменьшение объема внимания"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием высокой температуры происходят следующие негативные изменения:"
80,3,коммуникативная функция," функция спорта, которой характерно развертывание международных связей, взаимопонимания и культурного сотрудничества народов, упрочения мира на земле, – это:"
81,2,бактерицидное, какое воздействие на организм при закаливании солнцем оказывают ультрафиолетовые лучи:
83,3,"укрепление здоровья, повышение общей работоспособности, развитие функциональных возможностей"," по вашему мнению, основной задачей офп является:"
85,3,"белки, жиры, углеводы, минеральные вещества, витамины и вода"," основными пищевыми веществами, необходимыми для жизнедеятельности организма, являются:"
87,3,110 – 130 уд/мин, компенсаторная зона интенсивности тренировочной нагрузки определяется уровнем чсс в пределах:
90,1,"ритмично, без задержки дыхания, делая вдох в момент расслабления мышц"," по вашему мнению, упражнения с отягощениями следует выполнять:"
91,1,прикладные специальные качества," способность организма противостоять специфическим воздействиям внешней среды, которая развивается путем закаливания и специальными упражнениями – это:"
93,3,"должна быть легкой, эластичной и хорошо вентилируемой и отвечать требованиям, предъявляемым спецификой занятий и правилами соревнований по различным видам спорта", требования к спортивной одежде и обуви:
1,3,хорошее состояние вестибулярного аппарата, профессиональная деятельность в условиях ограниченной опоры предполагает
2,3,утром натощак и поздно вечером," по вашему мнению, когда не рекомендуется заниматься физическими упражнениями:"
3,1,упражнения с отягощениями," по вашему мнению, коррекции недостатков физического развития и телосложения наиболее способствуют:"
4,0,массовый спорт," составная часть спорта, основным содержанием которого является рациональное использование человеком двигательной деятельности в качестве фактора подготовки к жизненной практике, оптимизации своего физического состояния и развития – это:"
5,3,тренированность спортсмена," степень функционального приспособления организма, к предъявляемым тренировочным нагрузкам, формирующаяся в результате систематических физических упражнений и способствующая повышению работоспособности – это:"
6,3,функция социальной интеграции и социализации личности," функция спорта, которая раскрывается в вовлечении людей в общественную жизнь, приобщение к ней и формирование у занимающихся опыта социальных отношений,  – это:"
9,0,оздоровительные силы природы и гигиенические факторы," для воспитания специальных прикладных качеств, обеспечивающих продуктивную работу в различных географо-климатических условиях используются:"
10,2,"процесс целенаправленной, сознательной планомерной работы над собой, ориентированный на формирование физической культуры личности", физическое самовоспитание ‑ это
13,0,"уровень жизни, качество жизни, стиль жизни", какие категории включает в себя образ жизни человека:
16,1,спортивный клуб," внутривузовская общественная организация, координирующая учебно-тренировочную деятельность курсов спортивного совершенствования и участие спортсменов в студенческих соревнованиях – это:"
17,0,вредные привычки," курение табака, употребление алкогольных напитков и наркотиков – это:"
19,3,утренняя гигиеническая гимнастика," форма самостоятельных занятий физическими упражнениями, которая обеспечивает умеренное повышение тонуса и ускорение врабатывания систем организма при и переходе от состояния покоя к повседневной деятельности – это:"
24,0,люди с высоким уровнем развития более устойчивы, влияет ли уровень физической подготовленности на устойчивость к воздействию окружающей среды:
26,3,повышению активности метаболизма," по вашему мнению, активизация деятельности мышц при занятиях оздоровительным бегом приводит к:"
27,3,"нарушение точности и быстроты действий, снижение умственной и физической работоспособности"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием гиподинамии, гипокинезии происходят следующие негативные изменения:"
28,0,30 – 320 с, какую температуру воды следует выбрать на начальном этапе закаливания:
29,3,"воспитание прикладных психофизических и специальных качеств, освоение прикладных умений и навыков, формирование необходимых прикладных знаний", задачи профессионально-прикладной физической подготовки:
36,1,специально-подготовительные упражнения., основные средства профессионально-прикладной подготовки
39,3,студенческий спорт," составная часть спорта, культивируемая в высших учебных заведениях, интегрирующая массовый спорт и спорт высших достижений – это:"
40,1,резко выраженное болезненное влечение и привыкание человека к наркотическим веществам, наркомания – это:
42,0,"отбор и спортивную ориентацию, спортивную тренировку, соревнования", система подготовки спортсмена включает в себя:
43,2,"воздушные и солнечные ванны, водные процедуры", виды закаливания:
44,3,физическая подготовка," педагогический процесс, направленный на воспитание физических качеств и развитие функциональных возможностей, создающих благоприятные условия обеспечения жизнедеятельности человека – это:"
46,2,"часть подготовки спортсмена, которая построена на основе метода упражнения", спортивная тренировка – это:
47,3,соревновательно-эталонная функция," функция спорта, которая выражается в том, что уровень спортивных достижений служит своего рода мерилом максимального развития спортивных способностей человека и ориентиром на пути к дальнейшему совершенствованию, – это:"
48,0,"упражнения с небольшим весом, сериями по 8-12 повторений"," на занятиях с отягощениями, женщинам рекомендуется выполнять:"
49,0,"обтирание, обливание, душ", к закаливанию водой относятся:
50,3,"прыжки в глубину, поднимание тяжестей, сопровождающееся натуживанием"," укажите упражнения, которые следует исключить женщинам как вызывающие повышение внутрибрюшного давления и затрудняющие деятельность органов малого таза:"
51,2,"положительное за счет применения дозируемого изменения температуры, влажности и скорости движения", какое влияние оказывает закаливание воздухом на организм:
52,2,"гигиеническая, лечебная, общеподготовительная, оздоровительно-рекреативная, спортивная, профессионально-прикладная", виды направленности самостоятельных занятий физическими упражнениями:
54,0,"обеспечение будущих специалистов прикладными знаниями, умениями и навыками, которые бы обеспечили сознательное и методически правильное использование средств физической культуры и спорта для подготовки к профессиональным видам труда", цель профессионально-прикладной физической подготовки:
55,3,"эйфорию – ложное ощущение веселья, благодушие, приятное успокоение", в малых дозах наркотики вызывают:
57,3,"упражнения статического характера, упражнения с отягощениями, упражнения на выносливость"," по вашему мнению, какие упражнения не рекомендуется включать в комплекс утренней гигиенической гимнастики:"
58,3,"к увеличению количества абортов, росту числа разводов, распространению заболеваний, передающихся половым путем"," к чему приводит либерализация половой морали, частая смена партнеров в сочетании с низкой сексуальной культурой:"
59,2,жиры," пищевые вещества, которые выполняют пластическую функцию, являясь структурной частью клеток, участвуют в обмене витаминов, способствуют их усвоению и одновременно служат источниками некоторых витаминов:"
63,0,"постепенное снижение нагрузки, восстановление организма"," по вашему мнению, основной задачей заключительной части тренировочного занятия является:"
64,1,"состояние опьянения, оглушенности, наркотический сон, острое отравление и смерть", какие последствия влечет за собой употребление наркотиков:
66,3,8-10 часов, оптимальный двигательный режим для молодых людей в возрасте от 14 до 25 лет должен составлять:
69,0,хорошо физически развитый и тренированный человек," по вашему мнению, быстрее акклиматизируется в новой местности, легче переносит действие низкой и высокой температуры, более устойчив к инфекциям, проникающей радиации:"
71,3,использование средств физической культуры и спорта в системе организации труда и для подготовки к профессиональной деятельности с учетом особенностей получаемой специальности, профессионально-прикладная направленность самостоятельных занятий физическими упражнениями предполагает:
72,3,использование средств физической культуры для совершенствования двигательных способностей с целью всестороннего и гармоничного физического развития человека, общеподготовительная  направленность самостоятельных занятий физическими упражнениями предполагает:
74,1,общая физическая подготовка," процесс совершенствования физических качеств, направленных на всестороннее и гармоничное развитие человека – это:"
75,1,"вес отягощения увеличивается, число повторений уменьшается", при занятиях атлетической гимнастикой для развития абсолютной силы:
77,3,"снижают работоспособность, сокращают продолжительность жизни"," какое влияние на здоровье человека оказывают вредные привычки (курение табака, употребление алкогольных напитков и наркотиков):"
