,answer_id,answer_text,question
14,0,специальная физическая подготовка," процесс развития физических качеств, возможностей организма, непосредственно определяющих достижения в избранном виде спорта – это:"
15,2,специализированная подготовка к избранной профессиональной деятельности, профессионально-прикладная подготовка - это
16,3,"динамическое состояние физического, духовного и социального благополучия, обеспечивающее полноценное выполнение человеком трудовых, психических и биологических функций при максимальной продолжительности жизни", здоровье – это:
17,2,мотивации," по вашему мнению, выбор занимающимся вида спорта или системы физических упражнений зависит от:"
18,2,гиповитаминозу, недостаток витаминов приводит к:
19,0,специализированный вид физического воспитания для формирования и совершенствования свойств и качеств личности для конкретной профессиональной деятельности, профессионально-прикладная физическая подготовка – это
20,1,«гусиная кожа» и озноб, сигналами неблагоприятного воздействия на организм прохладными и холодными воздушными ваннами являются:
21,1,витамины," биологически активные вещества, регулирующие обмен веществ и разносторонне влияющие на жизнедеятельность организма – это:"
22,3,эмоционально-зрелищная функция," функция спорта, которая раскрывается в том, что спорт несет в себе эстетические свойства, проявляющиеся в гармонии физических и духовных качеств человека, граничит с искусством,  – это:"
23,1,"направленное развитие и поддержание на оптимальном уровне тех психических и физических качеств человека, к которым предъявляет повышенные требования конкретная профессиональная деятельность, а также выработка функциональной устойчивости организма к условиям этой деятельности и формирование прикладных двигательных умений и навыков", основное назначение профессионально-прикладной физической подготовки:
24,2,циклические виды спорта," по вашему мнению, повышению функциональных возможностей организма наиболее способствуют:"
25,2,"различные тренажеры, специальные технические приспособления, с помощью которых можно моделировать отдельные условия и характер будущего профессионального труда", к вспомогательным средствам профессионально-прикладной физической подготовки относятся:
26,1,упражнения в течение учебного (рабочего) дня," форма самостоятельных занятий физическими упражнениями, которая обеспечивает предупреждение наступающего утомления, способствует поддержанию высокой работоспособности на длительное время без перенапряжения – это:"
27,1,"ухудшение внимания, увеличение времени двигательной реакции, снижение умственной и физической работоспособности"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием умственного утомления происходят следующие негативные изменения:"
28,0,"постепенно, с максимумом в середине или во второй половине комплекса"," по вашему мнению, каким образом следует повышать физическую нагрузку при составлении комплекса утренней гигиенической гимнастики и его выполнении:"
29,3,усиление деятельности всех систем организма для обеспечения вывода на необходимый уровень работоспособности," по вашему мнению, основной задачей подготовительной части тренировочного занятия является:"
30,0,важное средство профилактики негативных последствий охлаждения организма или действия высоких температур, закаливание организма ‑ это
31,3,меланин, какой пигмент вырабатывается организмом под действием ультрафиолетовых лучей:
32,2,комплекс характеристик мотивационной и потребностно-информационной основы жизнедеятельности человека, нравственный компонент здоровья – это:
33,0,физическая нагрузка," воздействие физических упражнений на организм спортсмена, вызывающее активную реакцию его функциональных систем – это:"
34,1,тепловое, какое воздействие на организм при закаливании солнцем оказывают инфракрасные лучи:
35,2,общую и специальную, физическая подготовка разделяется на:
36,0,"использование средств физической культуры для повышения спортивного мастерства, участия в спортивных соревнованиях, достижения высоких спортивных результатов", спортивная направленность самостоятельных занятий физическими упражнениями предполагает:
37,0,оздоровительный бег," по вашему мнению, одной из самых доступных форм занятий физической культурой является:"
38,0,оздоровительный бег," по вашему мнению, одной из самых доступных форм занятий физической культурой является:"
39,3,спорт," социальное явление, один из видов физической культуры, исторически сложившийся в форме соревновательной деятельности, специальной подготовки к ней, а также специфических межличностных отношений, норм и достижений, возникающих в процессе этой деятельности – это:"
40,1,"баланс энергии, соотношение пищевых веществ, соблюдения режима питания", принципы рационального питания:
41,3,белки," пищевые вещества, которые служат материалом для построения клеток, тканей и органов, образования ферментов и большинства гормонов, входящие в состав соединений, обеспечивающих иммунитет организма к инфекциям:"
42,3,до – 200 с, температурный режим для проведения занятий на свежем воздухе:
43,0,три раза в неделю," по вашему мнению, для повышения уровня физической подготовленности достаточно заниматься физическими упражнениями:"
44,3,два раза в неделю," по вашему мнению, для поддержания уровня физической подготовленности необходимо заниматься физическими упражнениями:"
45,0,130 – 150 уд/мин, аэробная зона интенсивности тренировочной нагрузки определяется уровнем чсс в пределах:
46,3,четыре раза в неделю и более," по вашему мнению, для достижения высоких спортивных результатов достаточно заниматься физическими упражнениями:"
47,3,соревновательная нагрузка," интенсивная, часто максимальная нагрузка, связанная с выполнением соревновательной деятельности – это:"
48,0,"техническую, тактическую, психическую и физическую", спортивная подготовка включает в себя:
49,3,"академические учебные занятия, занятия в период учебной практики, спортивно-прикладные соревнования, самостоятельные тренировочные занятия по заданию преподавателя", формы занятий по профессионально-прикладной физической подготовке:
50,0,пороговая и пиковая чсс, при определении интенсивности тренировочных нагрузок по частоте сердечных сокращений используются два показателя:
51,3,"дозировка воздушных ванн осуществляется или постепенным снижением температуры воздуха, или увеличением длительности процедуры при одной и той же температуре", каким образом осуществляется дозировка воздушных ванн:
52,0,"гимнастика, при которой последовательно конструируются необходимые формы движений и осуществляются избирательно-направленные влияния на определенные звенья опорно-двигательного аппарата", профессионально-прикладная гимнастика – это:
53,0,минздрав," как вы считаете, какая организация обладает наибольшими социально-экономическими возможностями для борьбы с заболеваемостью граждан:"
54,4,закономерности биологических ритмов, для установки режима дня необходимо учитывать
55,3,1 – 2 мин, при занятиях атлетической гимнастикой интервал отдыха между упражнениями обычно составляет:
56,3,здоровый образ жизни, средство улучшения состояния здоровья:
57,0,эвристически-достиженческая функция," функция спорта, которой характерна творческая поисковая деятельность, сопряженная с познанием человеком своих возможностей, наряду с изысканием эффективных способов максимальной реализации и их увеличения, – это:"
58,0,предохраняет организм от избыточной солнечной радиации и ожогов," по вашему мнению, какую роль для организма играет пигмент меланин, который образуется под действием ультрафиолетовых лучей:"
59,3,средства профессионально-прикладной физической подготовки," прикладные физические упражнения и элементы различных видов спорта, оздоровительные силы природы и гигиенические факторы – это:"
60,3,"использование физических упражнений в общей системе лечебных мер по восстановлению здоровья или определенных функций организма, сниженных или утраченных в результате заболеваний или травмы", лечебная направленность самостоятельных занятий физическими упражнениями предполагает:
61,0,резко выраженное болезненное влечение и привыкание человека к наркотическим средствам., наркомания ‑ это
62,0,чссmax = 220 – возраст человека (лет), формула расчета максимальной чсс во время нагрузки:
63,2,источника энергии, роль углеводов в организме человека
64,0,"состояние общего душевного комфорта, обеспечивающее адекватную регуляцию поведения", психический компонент здоровья – это:
65,3,зима," на какое время года приходится пик обострений простудных заболеваний, гриппа и орви:"
66,0,воспитание волевых способностей, в тактическую подготовку спортсмена не входит:
67,3,текущее состояние органов и систем органов человеческого организма, соматический компонент здоровья – это:
68,2,упражнение на укрепление связочного аппарата и разминка основных мышечных групп, средства профессионально-прикладной физической подготовки для работников умственного труда:
69,3,физическое самовоспитание," процесс целенаправленной, сознательной, планомерной работы над собой, ориентированный на формирование физической культуры личности – это:"
70,2,"предупреждение наступающего утомления, поддержание работоспособности", решению каких задач способствуют упражнения в течение учебного (рабочего) дня:
71,0,"комплекс соматических, эмоциональных, интеллектуальных и социальных аспектов сексуального существования человека, позитивно обогащающих личность, повышающих коммуникабельность человека и его способность к любви", сексуальный компонент здоровья – это:
72,3,прогрессивный, какой термин не является определением метода тренировочного процесса:
73,0,подводящих упражнений, разучивание сложного двигательного действия следует начинать с освоения:
74,0,специально-подготовительные упражнения," упражнения, имеющие сходство с соревновательными упражнениями по структуре движения, ритмическим, временным и другим характеристикам – это:"
75,0,"массовый, высших достижений, профессиональный", современный спорт подразделяется на:
76,2,проводит мероприятия по предупреждению заболеваний и лечению населения, чем занимается система здравоохранения:
77,3,спортивное движение," социальное течение, спортивная практика в сфере массового спорта и спорта высших достижений – это:"
78,2,"утренняя гигиеническая гимнастика, упражнения в течение учебного (рабочего) дня, самостоятельные занятия в свободное время", основные формы самостоятельных занятий физическими упражнениями:
79,3,"сдвиги в работе терморегуляторного аппарата, напряжение сердечно-сосудистой, дыхательной и нервной систем организма, снижение мышечной выносливости к статическому напряжению, уменьшение объема внимания"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием высокой температуры происходят следующие негативные изменения:"
80,3,коммуникативная функция," функция спорта, которой характерно развертывание международных связей, взаимопонимания и культурного сотрудничества народов, упрочения мира на земле, – это:"
81,2,бактерицидное, какое воздействие на организм при закаливании солнцем оказывают ультрафиолетовые лучи:
82,0,"нарушение точности дозирования мышечных усилий, воспроизведения интервалов времени реагирования на движущийся объект, снижение физической работоспособности"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием физического утомления происходят следующие негативные изменения:"
83,3,"укрепление здоровья, повышение общей работоспособности, развитие функциональных возможностей"," по вашему мнению, основной задачей офп является:"
84,0,общая физическая подготовка," по вашему мнению, совершенствованию двигательных способностей с целью всестороннего и гармоничного физического развития человека наиболее способствуют:"
85,3,"белки, жиры, углеводы, минеральные вещества, витамины и вода"," основными пищевыми веществами, необходимыми для жизнедеятельности организма, являются:"
86,2,"рациональный устойчивый режим, уход за телом, гигиену одежды и обуви", личная гигиена включает в себя:
87,3,110 – 130 уд/мин, компенсаторная зона интенсивности тренировочной нагрузки определяется уровнем чсс в пределах:
88,3,уровень развития и функциональных возможностей органов и систем организма, физический компонент здоровья – это:
89,3,"интенсивность упражнения, объем работы, продолжительность и характер интервалов отдыха", при выполнении большинства физических упражнений суммарная их нагрузка на организм достаточно полно характеризуется следующими компонентами:
90,1,"ритмично, без задержки дыхания, делая вдох в момент расслабления мышц"," по вашему мнению, упражнения с отягощениями следует выполнять:"
91,1,прикладные специальные качества," способность организма противостоять специфическим воздействиям внешней среды, которая развивается путем закаливания и специальными упражнениями – это:"
92,1,"резкое побледнение кожи, озноб, дрожь", сигналами неблагоприятного воздействия на организм водно-закаливающих процедур являются:
93,3,"должна быть легкой, эластичной и хорошо вентилируемой и отвечать требованиям, предъявляемым спецификой занятий и правилами соревнований по различным видам спорта", требования к спортивной одежде и обуви:
94,1,организационная подготовка, в спортивную подготовку спортсмена не входит:
95,2,техническая подготовка," степень освоения спортсменам системы движений, соответствующей особенностям вида спорта, и направленных на достижение высоких спортивных результатов – это:"
96,3,"воспитательная, соревновательно-эталонная, эвристически-достиженческая, оздоровительно-рекреативная, эмоционально-зрелищная, коммуникативная, экономическая", функции спорта:
