,answer_id,answer_text,question
14,0,специальная физическая подготовка," процесс развития физических качеств, возможностей организма, непосредственно определяющих достижения в избранном виде спорта – это:"
15,2,специализированная подготовка к избранной профессиональной деятельности, профессионально-прикладная подготовка - это
16,3,"динамическое состояние физического, духовного и социального благополучия, обеспечивающее полноценное выполнение человеком трудовых, психических и биологических функций при максимальной продолжительности жизни", здоровье – это:
17,2,мотивации," по вашему мнению, выбор занимающимся вида спорта или системы физических упражнений зависит от:"
18,2,гиповитаминозу, недостаток витаминов приводит к:
19,0,специализированный вид физического воспитания для формирования и совершенствования свойств и качеств личности для конкретной профессиональной деятельности, профессионально-прикладная физическая подготовка – это
20,1,«гусиная кожа» и озноб, сигналами неблагоприятного воздействия на организм прохладными и холодными воздушными ваннами являются:
21,1,витамины," биологически активные вещества, регулирующие обмен веществ и разносторонне влияющие на жизнедеятельность организма – это:"
22,3,эмоционально-зрелищная функция," функция спорта, которая раскрывается в том, что спорт несет в себе эстетические свойства, проявляющиеся в гармонии физических и духовных качеств человека, граничит с искусством,  – это:"
23,1,"направленное развитие и поддержание на оптимальном уровне тех психических и физических качеств человека, к которым предъявляет повышенные требования конкретная профессиональная деятельность, а также выработка функциональной устойчивости организма к условиям этой деятельности и формирование прикладных двигательных умений и навыков", основное назначение профессионально-прикладной физической подготовки:
24,2,циклические виды спорта," по вашему мнению, повышению функциональных возможностей организма наиболее способствуют:"
25,2,"различные тренажеры, специальные технические приспособления, с помощью которых можно моделировать отдельные условия и характер будущего профессионального труда", к вспомогательным средствам профессионально-прикладной физической подготовки относятся:
26,1,упражнения в течение учебного (рабочего) дня," форма самостоятельных занятий физическими упражнениями, которая обеспечивает предупреждение наступающего утомления, способствует поддержанию высокой работоспособности на длительное время без перенапряжения – это:"
27,1,"ухудшение внимания, увеличение времени двигательной реакции, снижение умственной и физической работоспособности"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием умственного утомления происходят следующие негативные изменения:"
28,0,"постепенно, с максимумом в середине или во второй половине комплекса"," по вашему мнению, каким образом следует повышать физическую нагрузку при составлении комплекса утренней гигиенической гимнастики и его выполнении:"
29,3,усиление деятельности всех систем организма для обеспечения вывода на необходимый уровень работоспособности," по вашему мнению, основной задачей подготовительной части тренировочного занятия является:"
30,0,важное средство профилактики негативных последствий охлаждения организма или действия высоких температур, закаливание организма ‑ это
31,3,меланин, какой пигмент вырабатывается организмом под действием ультрафиолетовых лучей:
32,2,комплекс характеристик мотивационной и потребностно-информационной основы жизнедеятельности человека, нравственный компонент здоровья – это:
33,0,физическая нагрузка," воздействие физических упражнений на организм спортсмена, вызывающее активную реакцию его функциональных систем – это:"
34,1,тепловое, какое воздействие на организм при закаливании солнцем оказывают инфракрасные лучи:
35,2,общую и специальную, физическая подготовка разделяется на:
36,0,"использование средств физической культуры для повышения спортивного мастерства, участия в спортивных соревнованиях, достижения высоких спортивных результатов", спортивная направленность самостоятельных занятий физическими упражнениями предполагает:
37,0,оздоровительный бег," по вашему мнению, одной из самых доступных форм занятий физической культурой является:"
39,3,спорт," социальное явление, один из видов физической культуры, исторически сложившийся в форме соревновательной деятельности, специальной подготовки к ней, а также специфических межличностных отношений, норм и достижений, возникающих в процессе этой деятельности – это:"
40,1,"баланс энергии, соотношение пищевых веществ, соблюдения режима питания", принципы рационального питания:
41,3,белки," пищевые вещества, которые служат материалом для построения клеток, тканей и органов, образования ферментов и большинства гормонов, входящие в состав соединений, обеспечивающих иммунитет организма к инфекциям:"
42,3,до – 200 с, температурный режим для проведения занятий на свежем воздухе:
43,0,три раза в неделю," по вашему мнению, для повышения уровня физической подготовленности достаточно заниматься физическими упражнениями:"
44,3,два раза в неделю," по вашему мнению, для поддержания уровня физической подготовленности необходимо заниматься физическими упражнениями:"
45,0,130 – 150 уд/мин, аэробная зона интенсивности тренировочной нагрузки определяется уровнем чсс в пределах:
46,3,четыре раза в неделю и более," по вашему мнению, для достижения высоких спортивных результатов достаточно заниматься физическими упражнениями:"
47,3,соревновательная нагрузка," интенсивная, часто максимальная нагрузка, связанная с выполнением соревновательной деятельности – это:"
48,0,"техническую, тактическую, психическую и физическую", спортивная подготовка включает в себя:
49,3,"академические учебные занятия, занятия в период учебной практики, спортивно-прикладные соревнования, самостоятельные тренировочные занятия по заданию преподавателя", формы занятий по профессионально-прикладной физической подготовке:
50,0,пороговая и пиковая чсс, при определении интенсивности тренировочных нагрузок по частоте сердечных сокращений используются два показателя:
51,3,"дозировка воздушных ванн осуществляется или постепенным снижением температуры воздуха, или увеличением длительности процедуры при одной и той же температуре", каким образом осуществляется дозировка воздушных ванн:
52,0,"гимнастика, при которой последовательно конструируются необходимые формы движений и осуществляются избирательно-направленные влияния на определенные звенья опорно-двигательного аппарата", профессионально-прикладная гимнастика – это:
53,0,минздрав," как вы считаете, какая организация обладает наибольшими социально-экономическими возможностями для борьбы с заболеваемостью граждан:"
54,4,закономерности биологических ритмов, для установки режима дня необходимо учитывать
55,3,1 – 2 мин, при занятиях атлетической гимнастикой интервал отдыха между упражнениями обычно составляет:
56,3,здоровый образ жизни, средство улучшения состояния здоровья:
57,0,эвристически-достиженческая функция," функция спорта, которой характерна творческая поисковая деятельность, сопряженная с познанием человеком своих возможностей, наряду с изысканием эффективных способов максимальной реализации и их увеличения, – это:"
58,0,предохраняет организм от избыточной солнечной радиации и ожогов," по вашему мнению, какую роль для организма играет пигмент меланин, который образуется под действием ультрафиолетовых лучей:"
59,3,средства профессионально-прикладной физической подготовки," прикладные физические упражнения и элементы различных видов спорта, оздоровительные силы природы и гигиенические факторы – это:"
60,3,"использование физических упражнений в общей системе лечебных мер по восстановлению здоровья или определенных функций организма, сниженных или утраченных в результате заболеваний или травмы", лечебная направленность самостоятельных занятий физическими упражнениями предполагает:
61,0,резко выраженное болезненное влечение и привыкание человека к наркотическим средствам., наркомания ‑ это
62,0,чссmax = 220 – возраст человека (лет), формула расчета максимальной чсс во время нагрузки:
63,2,источника энергии, роль углеводов в организме человека
64,0,"состояние общего душевного комфорта, обеспечивающее адекватную регуляцию поведения", психический компонент здоровья – это:
65,3,зима," на какое время года приходится пик обострений простудных заболеваний, гриппа и орви:"
66,0,воспитание волевых способностей, в тактическую подготовку спортсмена не входит:
67,3,текущее состояние органов и систем органов человеческого организма, соматический компонент здоровья – это:
68,2,упражнение на укрепление связочного аппарата и разминка основных мышечных групп, средства профессионально-прикладной физической подготовки для работников умственного труда:
69,3,физическое самовоспитание," процесс целенаправленной, сознательной, планомерной работы над собой, ориентированный на формирование физической культуры личности – это:"
70,2,"предупреждение наступающего утомления, поддержание работоспособности", решению каких задач способствуют упражнения в течение учебного (рабочего) дня:
71,0,"комплекс соматических, эмоциональных, интеллектуальных и социальных аспектов сексуального существования человека, позитивно обогащающих личность, повышающих коммуникабельность человека и его способность к любви", сексуальный компонент здоровья – это:
72,3,прогрессивный, какой термин не является определением метода тренировочного процесса:
73,0,подводящих упражнений, разучивание сложного двигательного действия следует начинать с освоения:
74,0,специально-подготовительные упражнения," упражнения, имеющие сходство с соревновательными упражнениями по структуре движения, ритмическим, временным и другим характеристикам – это:"
75,0,"массовый, высших достижений, профессиональный", современный спорт подразделяется на:
76,2,проводит мероприятия по предупреждению заболеваний и лечению населения, чем занимается система здравоохранения:
77,3,спортивное движение," социальное течение, спортивная практика в сфере массового спорта и спорта высших достижений – это:"
78,2,"утренняя гигиеническая гимнастика, упражнения в течение учебного (рабочего) дня, самостоятельные занятия в свободное время", основные формы самостоятельных занятий физическими упражнениями:
79,3,"сдвиги в работе терморегуляторного аппарата, напряжение сердечно-сосудистой, дыхательной и нервной систем организма, снижение мышечной выносливости к статическому напряжению, уменьшение объема внимания"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием высокой температуры происходят следующие негативные изменения:"
80,3,коммуникативная функция," функция спорта, которой характерно развертывание международных связей, взаимопонимания и культурного сотрудничества народов, упрочения мира на земле, – это:"
81,2,бактерицидное, какое воздействие на организм при закаливании солнцем оказывают ультрафиолетовые лучи:
82,0,"нарушение точности дозирования мышечных усилий, воспроизведения интервалов времени реагирования на движущийся объект, снижение физической работоспособности"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием физического утомления происходят следующие негативные изменения:"
83,3,"укрепление здоровья, повышение общей работоспособности, развитие функциональных возможностей"," по вашему мнению, основной задачей офп является:"
84,0,общая физическая подготовка," по вашему мнению, совершенствованию двигательных способностей с целью всестороннего и гармоничного физического развития человека наиболее способствуют:"
85,3,"белки, жиры, углеводы, минеральные вещества, витамины и вода"," основными пищевыми веществами, необходимыми для жизнедеятельности организма, являются:"
86,2,"рациональный устойчивый режим, уход за телом, гигиену одежды и обуви", личная гигиена включает в себя:
87,3,110 – 130 уд/мин, компенсаторная зона интенсивности тренировочной нагрузки определяется уровнем чсс в пределах:
88,3,уровень развития и функциональных возможностей органов и систем организма, физический компонент здоровья – это:
89,3,"интенсивность упражнения, объем работы, продолжительность и характер интервалов отдыха", при выполнении большинства физических упражнений суммарная их нагрузка на организм достаточно полно характеризуется следующими компонентами:
90,1,"ритмично, без задержки дыхания, делая вдох в момент расслабления мышц"," по вашему мнению, упражнения с отягощениями следует выполнять:"
91,1,прикладные специальные качества," способность организма противостоять специфическим воздействиям внешней среды, которая развивается путем закаливания и специальными упражнениями – это:"
92,1,"резкое побледнение кожи, озноб, дрожь", сигналами неблагоприятного воздействия на организм водно-закаливающих процедур являются:
93,3,"должна быть легкой, эластичной и хорошо вентилируемой и отвечать требованиям, предъявляемым спецификой занятий и правилами соревнований по различным видам спорта", требования к спортивной одежде и обуви:
94,1,организационная подготовка, в спортивную подготовку спортсмена не входит:
95,2,техническая подготовка," степень освоения спортсменам системы движений, соответствующей особенностям вида спорта, и направленных на достижение высоких спортивных результатов – это:"
96,3,"воспитательная, соревновательно-эталонная, эвристически-достиженческая, оздоровительно-рекреативная, эмоционально-зрелищная, коммуникативная, экономическая", функции спорта:
0,1,на предрасположенность к некоторым заболеваниям, на какой фактор здоровья влияет наследственность:
1,2,прикладные психические качества и свойства личности," сознательное преодоление трудностей в процессе регулярных занятий физической культурой и спортом, борьба с нарастающим утомлением, ощущениями боли и страха, привычка соблюдать установленные нормы и правила поведения воспитывают:"
2,1,экономическая функция," функция спорта, которая выражается в том, что средства, вложенные в развитие спорта сторицей окупаются прежде всего в повышении уровня здоровья населения, повышении общей работоспособности, продлении жизни человека,  – это:"
6,0,разрушает клетки и вызывает заболевания различных органов, какое влияние оказывает употребление алкоголя на организм:
8,0,профессиональный спорт," предпринимательская деятельность, целью которой является удовлетворение интересов профессиональных спортивных организаций, спортсменов, избравших спорт своей профессией, и зрителей – это:"
9,0,частота сердечных сокращений, показателем интенсивности физических нагрузок является:
10,2,"ухудшение координации и точности движений, несоразмерность усилий, понижение способности сохранять равновесие"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием отрицательной эмоциональной нагрузки происходят следующие негативные изменения:"
11,1,"прикладные знания, умения и навыки"," понятия, которые связаны с будущей профессиональной деятельностью, обеспечивают безопасность в быту и при выполнении профессиональных видов работ, формируются в процессе активных занятий физической культурой и спортом:"
12,0,мозг," орган человека, содержащий больше всего воды"
13,3,система подготовки спортсмена," совокупность методических основ организационных форм и условий тренировочно-соревновательного процесса, оптимально взаимодействующих между собой на основе определенных принципов и обеспечивающих наилучшую степень готовности спортсмена к высоким спортивным достижениям – это:"
14,0,75 – 95 %," диапазон частоты сердечных сокращений от максимальной чсс у здоровых людей, занимающихся спортом:"
17,1,"значительное нервно-психическое напряжение в связи с непрерывным контролем за положением собственного тела в пространстве, увеличение суммарной амплитуды тремора и чсс, ухудшение функционирования двигательного анализатора, проявление отрицательных эмоций"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием нахождения на высоте в условиях ограниченной опоры происходят следующие негативные изменения:"
18,0,силы и силовой выносливости, занятия атлетической гимнастикой направлены на развитие:
19,2,учение об адаптации организма человека и теория переноса тренированности," по вашему мнению, научным обоснованием специфического содержания и методов профессионально-прикладной физической подготовки является: "
20,3,"вес отягощения уменьшается, число повторений увеличивается", при занятиях атлетической гимнастикой для развития силовой выносливости:
23,2,важное средство профилактики негативных последствий охлаждения организма или действия высоких температур, закаливание организма  это
26,0,физический и умственный," по вашему мнению, какие различают формы труда:"
29,0,"2,5 – 3 л", суточная потребность человека в воде:
31,2,профессионально-прикладная физическая подготовка, специально направленное и избирательное использование средств физической культуры и спорта для подготовки человека к определенной профессиональной деятельности – это:
32,3,"значительно учащенное, периодически через рот", что характерно для дыхания при значительной степени утомления:
33,3,пиковая чсс," наибольшая интенсивность, которая не должна быть превышена в результате тренировки:"
36,1,"тренировка в термо - и барокамерах, искусственное ультрафиолетовое облучение и аэроионизацию, специализированное питание", дополнительные средства профессионально-прикладной физической подготовки:
38,2,2 – 3 часа," по вашему мнению, какой интервал времени после приема пищи следует выдержать перед занятием физическими упражнениями:"
39,1,"воспитание волевых способностей, выдержки и самообладания, самостоятельности и инициативности, целеустремленности, решительности и смелости", основным содержанием психической подготовки является:
41,1,"особенности информационного обеспечения деятельности, характер основных рабочих движений и особые внешние условия деятельности"," факторы профессиональной деятельности и ее условий, преимущественно обусловливающие требования к физической и другим сторонам прикладной подготовленности человека:"
44,0,использование средств физической культуры для восстановления работоспособности и укрепления здоровья в рамках повседневного быта и трудовой деятельности, гигиеническая направленность самостоятельных занятий физическими упражнениями предполагает:
48,3,"подводящие, развивающие и имитационные", в зависимости от направленности тренировочных занятий специально-подготовительные упражнения подразделяются на:
50,3,"образ жизни, наследственность, внешняя среда, здравоохранение"," факторы, определяющие здоровье:"
52,3,"соматический, физический, психический, сексуальный и нравственный", компоненты здоровья:
54,3,"физические упражнения, оздоровительные силы природы, гигиенические факторы", средствами офп являются:
55,1,воля," по вашему мнению, что не является физическим качеством: "
56,4,"устойчивый режим, уход за телом, гигиену одежды и обуви", личная гигиена включает в себя
57,3,дневник самоконтроля," своеобразная форма самоотчета о проделанном, позволяющая анализировать и своевременно корректировать реализацию программы здорового  образа жизни – это:"
58,1,закаливание, средство профилактики негативных последствий охлаждения организма или действия высоких температур – это:
61,2,"разумное чередование труда и отдыха, рациональное питание, преодоление вредных привычек, оптимальная двигательная активность, соблюдение правил личной гигиены, закаливание, психогигиена", основными составляющими элементами зож являются:
62,1,принцип органической связи физического воспитания с практикой трудовой деятельности, какой принцип педагогической системы воплощается в профессионально-прикладной физической подготовке:
64,3,170 – 200 уд/мин, анаэробная зона интенсивности тренировочной нагрузки определяется уровнем чсс в пределах:
68,2,"пола, возраста, состояния здоровья, уровня физической и спортивной подготовленности занимающегося", направленность и организационные формы использования самостоятельных занятий физическими упражнениями зависят от:
70,0,"виды спорта, оказывающие акцентированное воздействие на развитие двигательных способностей, имеющих значение для улучшения профессиональной деятельности", профессионально-прикладные виды спорта – это:
71,1,"обучение технике двигательных действий, воспитание физических и личностных качеств, развитие функциональных систем организма"," по вашему мнению, основной задачей основной части тренировочного занятия является:"
72,0,характер труда," особенности двигательных рабочих операций, при характеристике которых имеют в виду главным образом тип движений, амплитуду движений, силовые характеристики движения, особенности координации движений – это:"
73,2,"менее прочное строение костей, меньшее общее развитие мускулатуры, более широкий тазовый пояс и более мощная мускулатура тазового дна, чем у мужчин"," анатомо-физиологические особенности женского организма, которые необходимо учитывать при проведении самостоятельных занятий физическими упражнениями:"
75,2,150 – 170 уд/мин, смешанная зона интенсивности тренировочной нагрузки определяется уровнем чсс в пределах:
76,3,вода, наиболее важная составляющая часть пищевого рациона:
79,0,"наука, занимающаяся укреплением душевного здоровья, его сохранением или восстановлением в случае, если оно  не было серьезно подорвано", психогигиена – это 
81,3,циклические виды спорта," для повышения функциональных возможностей организма, совершенствования деятельности кардиореспираторной системы наиболее эффективными являются:"
82,0,в увеличении количества принимаемого наркотического вещества, какая потребность характерна для наркоманов:
83,3,"упражнения для всех групп мышц, упражнения на гибкость, дыхательные упражнения"," по вашему мнению, какие упражнения следует включать в комплекс утренней гигиенической гимнастики:"
84,4,прикладные физические качества," понятия, которые необходимы во многих видах профессиональной деятельности, позволяют успешно решать профессиональные задачи, связанные с преимущественным проявлением физических способностей в процессе самой трудовой деятельности:"
85,3,"поражение цнс, кардио-респираторной и пищеварительной систем", какие последствия влечет за собой курение табака:
86,3,углеводы," пищевые вещества, которые входят в состав почти всех клеток и тканей организма, выполняя строительную функцию, принимают участие в белковом обмене, способствуя синтезу аминокислот, и жировом обмене:"
87,2,пороговая чсс," наименьшая интенсивность, ниже которой тренировочного эффекта не возникает:"
88,3,атлетической гимнастикой, формирование гармоничного телосложения является конечной целью занятий:
89,3,"положительное, что выражается через повышение бодрости, хороший аппетит, крепкий и спокойный сон", какое влияние оказывает закаливание солнцем на организм:
91,0,аллергической реакцией, как реагирует организм человека на изменение химического состава окружающей среды:
93,1,оздоровительно-рекреативная функция," функция спорта, которая проявляется в положительном влиянии спорта на состояние и функциональные возможности организма человека,  – это:"
95,3,"использование физических упражнений в общей системе лечебных мер по восстановлению здоровья или определенных функций организма, сниженных или утраченных в результате заболеваний или травмы", лечебная направленность самостоятельных занятий физическими упражнениями предполагает: 
96,2,соревновательные упражнения," целостные двигательные действия, которые являются средством соревновательной борьбы в избранном виде спорта и выполняются в соответствии с правилами соревнований по этому виду спорта:"
97,2,цели занятий, выбор количества самостоятельных занятий в неделю зависит от:
99,0,развитие ведущих для данной профессии способностей,задачи профессионально-прикладной физической подготовки
